"State","Year","CrashType","DeadPersonType","Gender","Age","StateFullForm"
"WA",2006,"Multiple","Driver","Male",17,"West Australia"
"QLD",2006,"Single","Driver","Male",24,"Queensland"
"NSW",2006,"Single","Pedestrian","Male",27,"New South Wales"
"VIC",2006,"Multiple","Driver","Male",39,"Victoria"
"VIC",2006,"Multiple","Passenger","Female",62,"Victoria"
"NSW",2006,"Multiple","Passenger","Male",75,"New South Wales"
"NSW",2006,"Single","Driver","Male",59,"New South Wales"
"NSW",2006,"Single","Driver","Female",77,"New South Wales"
"SA",2006,"Multiple","Driver","Female",62,"South Australia"
"SA",2006,"Multiple","Driver","Female",41,"South Australia"
"VIC",2006,"Multiple","Passenger","Male",1,"Victoria"
"QLD",2006,"Single","Driver","Female",53,"Queensland"
"WA",2006,"Multiple","Driver","Male",30,"West Australia"
"WA",2006,"Multiple","Motorcycle rider","Male",37,"West Australia"
"VIC",2006,"Single","Pedestrian","Male",77,"Victoria"
"NSW",2006,"Single","Pedestrian","Female",57,"New South Wales"
"QLD",2006,"Single","Passenger","Male",30,"Queensland"
"NSW",2006,"Multiple","Passenger","Male",17,"New South Wales"
"QLD",2006,"Multiple","Pedal cyclist","Male",64,"Queensland"
"NSW",2006,"Single","Passenger","Male",45,"New South Wales"
"VIC",2006,"Single","Pedestrian","Male",23,"Victoria"
"QLD",2006,"Single","Passenger","Female",29,"Queensland"
"QLD",2006,"Multiple","Driver","Male",59,"Queensland"
"QLD",2006,"Single","Driver","Male",19,"Queensland"
"NSW",2006,"Single","Passenger","Male",16,"New South Wales"
"NSW",2006,"Single","Pedestrian","Male",87,"New South Wales"
"WA",2006,"Single","Driver","Male",81,"West Australia"
"WA",2006,"Single","Passenger","Male",19,"West Australia"
"NSW",2006,"Single","Driver","Male",37,"New South Wales"
"NSW",2006,"Multiple","Driver","Female",72,"New South Wales"
"WA",2006,"Single","Passenger","Female",28,"West Australia"
"VIC",2006,"Multiple","Driver","Female",19,"Victoria"
"VIC",2006,"Single","Driver","Male",45,"Victoria"
"SA",2006,"Single","Driver","Female",22,"South Australia"
"VIC",2006,"Single","Driver","Male",18,"Victoria"
"NSW",2006,"Single","Driver","Male",40,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",62,"Queensland"
"WA",2006,"Multiple","Motorcycle rider","Male",15,"West Australia"
"NSW",2006,"Single","Pedestrian","Male",81,"New South Wales"
"VIC",2006,"Multiple","Passenger","Female",15,"Victoria"
"WA",2006,"Multiple","Motorcycle rider","Male",65,"West Australia"
"NSW",2006,"Single","Motorcycle rider","Male",18,"New South Wales"
"QLD",2006,"Single","Driver","Female",54,"Queensland"
"NSW",2006,"Multiple","Pedal cyclist","Male",15,"New South Wales"
"QLD",2006,"Single","Passenger","Female",16,"Queensland"
"VIC",2006,"Single","Pedestrian","Male",75,"Victoria"
"VIC",2006,"Multiple","Driver","Female",88,"Victoria"
"VIC",2006,"Single","Driver","Male",28,"Victoria"
"VIC",2006,"Multiple","Motorcycle rider","Male",19,"Victoria"
"NSW",2006,"Single","Motorcycle rider","Male",20,"New South Wales"
"WA",2006,"Multiple","Passenger","Male",81,"West Australia"
"WA",2006,"Single","Passenger","Female",26,"West Australia"
"VIC",2006,"Multiple","Driver","Male",18,"Victoria"
"VIC",2006,"Single","Pedestrian","Male",52,"Victoria"
"NSW",2006,"Multiple","Passenger","Female",65,"New South Wales"
"QLD",2006,"Single","Passenger","Male",27,"Queensland"
"NSW",2006,"Single","Passenger","Female",39,"New South Wales"
"QLD",2006,"Single","Passenger","Male",55,"Queensland"
"QLD",2006,"Single","Driver","Male",60,"Queensland"
"NSW",2006,"Single","Passenger","Male",18,"New South Wales"
"NSW",2006,"Single","Driver","Male",34,"New South Wales"
"QLD",2006,"Multiple","Driver","Female",25,"Queensland"
"NSW",2006,"Single","Pedestrian","Male",21,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",63,"Queensland"
"WA",2006,"Single","Driver","Male",27,"West Australia"
"NT",2006,"Multiple","Driver","Male",38,"Northern Territory"
"VIC",2006,"Multiple","Motorcycle rider","Male",58,"Victoria"
"WA",2006,"Single","Driver","Male",48,"West Australia"
"QLD",2006,"Multiple","Passenger","Female",63,"Queensland"
"NSW",2006,"Single","Driver","Male",78,"New South Wales"
"WA",2006,"Multiple","Driver","Male",72,"West Australia"
"NSW",2006,"Multiple","Passenger","Female",41,"New South Wales"
"NSW",2006,"Multiple","Motorcycle rider","Male",78,"New South Wales"
"SA",2006,"Single","Driver","Female",82,"South Australia"
"QLD",2006,"Single","Passenger","Male",18,"Queensland"
"VIC",2006,"Single","Pedestrian","Female",53,"Victoria"
"VIC",2006,"Multiple","Driver","Female",24,"Victoria"
"WA",2006,"Single","Driver","Male",30,"West Australia"
"VIC",2006,"Multiple","Driver","Male",74,"Victoria"
"NT",2006,"Single","Driver","Male",71,"Northern Territory"
"VIC",2006,"Single","Passenger","Male",0,"Victoria"
"NSW",2006,"Single","Pedestrian","Male",29,"New South Wales"
"SA",2006,"Multiple","Driver","Male",69,"South Australia"
"WA",2006,"Multiple","Pedal cyclist","Female",27,"West Australia"
"TAS",2006,"Single","Passenger","Female",40,"Tasmania"
"WA",2006,"Multiple","Motorcycle rider","Male",23,"West Australia"
"WA",2006,"Single","Driver","Female",15,"West Australia"
"VIC",2006,"Single","Driver","Male",24,"Victoria"
"NT",2006,"Single","Driver","Female",42,"Northern Territory"
"NSW",2006,"Multiple","Driver","Male",55,"New South Wales"
"QLD",2006,"Single","Pedestrian","Male",28,"Queensland"
"QLD",2006,"Single","Driver","Male",23,"Queensland"
"VIC",2006,"Multiple","Driver","Male",55,"Victoria"
"WA",2006,"Single","Driver","Male",65,"West Australia"
"WA",2006,"Single","Pedal cyclist","Male",71,"West Australia"
"TAS",2006,"Multiple","Driver","Male",27,"Tasmania"
"NSW",2006,"Multiple","Driver","Male",19,"New South Wales"
"WA",2006,"Multiple","Motorcycle rider","Male",25,"West Australia"
"NSW",2006,"Single","Passenger","Female",18,"New South Wales"
"QLD",2006,"Single","Driver","Male",25,"Queensland"
"NSW",2006,"Single","Driver","Male",34,"New South Wales"
"WA",2006,"Multiple","Driver","Male",58,"West Australia"
"WA",2006,"Multiple","Driver","Female",46,"West Australia"
"NSW",2006,"Single","Motorcycle rider","Female",27,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",90,"Queensland"
"NSW",2006,"Multiple","Passenger","Male",42,"New South Wales"
"NSW",2006,"Single","Pedestrian","Female",38,"New South Wales"
"VIC",2006,"Single","Pedestrian","Male",33,"Victoria"
"NSW",2006,"Single","Driver","Male",18,"New South Wales"
"VIC",2006,"Multiple","Motorcycle rider","Male",44,"Victoria"
"NSW",2006,"Single","Driver","Male",29,"New South Wales"
"VIC",2006,"Multiple","Driver","Female",33,"Victoria"
"VIC",2006,"Single","Pedestrian","Female",82,"Victoria"
"NSW",2006,"Multiple","Driver","Female",30,"New South Wales"
"WA",2006,"Multiple","Passenger","Female",32,"West Australia"
"QLD",2006,"Single","Motorcycle rider","Male",33,"Queensland"
"NSW",2006,"Single","Passenger","Male",20,"New South Wales"
"WA",2006,"Single","Passenger","Male",22,"West Australia"
"WA",2006,"Single","Driver","Male",61,"West Australia"
"QLD",2006,"Single","Driver","Male",18,"Queensland"
"VIC",2006,"Multiple","Pedal cyclist","Male",45,"Victoria"
"QLD",2006,"Single","Driver","Male",18,"Queensland"
"WA",2006,"Single","Motorcycle rider","Male",43,"West Australia"
"QLD",2006,"Single","Pedestrian","Male",44,"Queensland"
"QLD",2006,"Single","Driver","Male",17,"Queensland"
"SA",2006,"Multiple","Passenger","Female",65,"South Australia"
"QLD",2006,"Multiple","Driver","Male",66,"Queensland"
"VIC",2006,"Multiple","Passenger","Female",10,"Victoria"
"WA",2006,"Multiple","Driver","Female",43,"West Australia"
"QLD",2006,"Multiple","Pedal cyclist","Male",14,"Queensland"
"WA",2006,"Single","Driver","Male",20,"West Australia"
"NSW",2006,"Multiple","Passenger","Female",61,"New South Wales"
"SA",2006,"Single","Driver","Male",17,"South Australia"
"QLD",2006,"Single","Driver","Female",19,"Queensland"
"SA",2006,"Multiple","Passenger","Female",42,"South Australia"
"VIC",2006,"Multiple","Driver","Male",31,"Victoria"
"QLD",2006,"Multiple","Passenger","Female",17,"Queensland"
"NSW",2006,"Multiple","Driver","Male",70,"New South Wales"
"WA",2006,"Single","Pedestrian","Male",16,"West Australia"
"VIC",2006,"Single","Motorcycle rider","Male",24,"Victoria"
"NSW",2006,"Single","Pedestrian","Male",81,"New South Wales"
"QLD",2006,"Single","Driver","Female",18,"Queensland"
"WA",2006,"Single","Motorcycle rider","Male",17,"West Australia"
"NSW",2006,"Multiple","Motorcycle rider","Male",24,"New South Wales"
"NSW",2006,"Multiple","Driver","Female",49,"New South Wales"
"NSW",2006,"Single","Passenger","Female",5,"New South Wales"
"QLD",2006,"Single","Driver","Male",47,"Queensland"
"QLD",2006,"Multiple","Driver","Male",42,"Queensland"
"NT",2006,"Single","Passenger","Male",33,"Northern Territory"
"VIC",2006,"Multiple","Pedestrian","Male",55,"Victoria"
"VIC",2006,"Single","Driver","Female",60,"Victoria"
"NSW",2006,"Single","Driver","Female",23,"New South Wales"
"NSW",2006,"Multiple","Driver","Female",62,"New South Wales"
"SA",2006,"Single","Pedestrian","Female",80,"South Australia"
"QLD",2006,"Multiple","Passenger","Female",20,"Queensland"
"NSW",2006,"Multiple","Driver","Female",85,"New South Wales"
"VIC",2006,"Multiple","Passenger","Female",21,"Victoria"
"QLD",2006,"Single","Driver","Male",39,"Queensland"
"VIC",2006,"Single","Pedestrian","Male",75,"Victoria"
"QLD",2006,"Single","Pedestrian","Male",27,"Queensland"
"QLD",2006,"Multiple","Motorcycle rider","Male",17,"Queensland"
"NSW",2006,"Multiple","Passenger","Female",23,"New South Wales"
"VIC",2006,"Multiple","Driver","Male",45,"Victoria"
"QLD",2006,"Multiple","Driver","Female",39,"Queensland"
"NSW",2006,"Multiple","Driver","Female",47,"New South Wales"
"QLD",2006,"Single","Passenger","Male",28,"Queensland"
"NT",2006,"Single","Passenger","Female",27,"Northern Territory"
"NSW",2006,"Multiple","Driver","Female",54,"New South Wales"
"WA",2006,"Single","Passenger","Male",22,"West Australia"
"WA",2006,"Single","Passenger","Male",10,"West Australia"
"NSW",2006,"Multiple","Driver","Female",46,"New South Wales"
"NSW",2006,"Multiple","Motorcycle rider","Male",22,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",72,"Queensland"
"QLD",2006,"Multiple","Passenger","Female",70,"Queensland"
"NSW",2006,"Single","Driver","Male",17,"New South Wales"
"VIC",2006,"Single","Driver","Male",25,"Victoria"
"NSW",2006,"Multiple","Driver","Male",48,"New South Wales"
"NT",2006,"Single","Passenger","Female",35,"Northern Territory"
"QLD",2006,"Single","Pedestrian","Male",23,"Queensland"
"QLD",2006,"Multiple","Driver","Male",52,"Queensland"
"QLD",2006,"Single","Driver","Male",80,"Queensland"
"VIC",2006,"Single","Driver","Male",31,"Victoria"
"WA",2006,"Single","Driver","Male",25,"West Australia"
"NSW",2006,"Single","Driver","Male",55,"New South Wales"
"VIC",2006,"Multiple","Driver","Male",26,"Victoria"
"NSW",2006,"Multiple","Passenger","Female",86,"New South Wales"
"SA",2006,"Single","Pedestrian","Female",74,"South Australia"
"QLD",2006,"Multiple","Passenger","Female",41,"Queensland"
"NSW",2006,"Single","Motorcycle rider","Male",78,"New South Wales"
"QLD",2006,"Single","Driver","Male",19,"Queensland"
"QLD",2006,"Single","Passenger","Female",14,"Queensland"
"WA",2006,"Multiple","Passenger","Female",81,"West Australia"
"NSW",2006,"Multiple","Passenger","Male",22,"New South Wales"
"TAS",2006,"Multiple","Motorcycle rider","Male",56,"Tasmania"
"NSW",2006,"Multiple","Driver","Male",41,"New South Wales"
"ACT",2006,"Multiple","Pedal cyclist","Male",16,"Austialian Capital Territory"
"QLD",2006,"Single","Driver","Male",43,"Queensland"
"NT",2006,"Single","Pedestrian","Female",27,"Northern Territory"
"WA",2006,"Single","Driver","Male",20,"West Australia"
"VIC",2006,"Single","Passenger","Male",50,"Victoria"
"NSW",2006,"Single","Pedestrian","Male",7,"New South Wales"
"VIC",2006,"Multiple","Driver","Female",68,"Victoria"
"NSW",2006,"Multiple","Driver","Male",67,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",61,"Queensland"
"NSW",2006,"Multiple","Driver","Male",72,"New South Wales"
"QLD",2006,"Single","Pedestrian","Female",82,"Queensland"
"QLD",2006,"Single","Passenger","Male",0,"Queensland"
"SA",2006,"Multiple","Driver","Male",77,"South Australia"
"NSW",2006,"Single","Driver","Female",43,"New South Wales"
"WA",2006,"Single","Driver","Female",88,"West Australia"
"SA",2006,"Multiple","Driver","Male",18,"South Australia"
"QLD",2006,"Multiple","Motorcycle rider","Male",17,"Queensland"
"QLD",2006,"Single","Driver","Male",66,"Queensland"
"NSW",2006,"Single","Passenger","Male",19,"New South Wales"
"NSW",2006,"Multiple","Motorcycle rider","Male",59,"New South Wales"
"VIC",2006,"Single","Pedestrian","Male",89,"Victoria"
"NT",2006,"Single","Passenger","Male",23,"Northern Territory"
"VIC",2006,"Single","Pedestrian","Female",14,"Victoria"
"NSW",2006,"Single","Passenger","Male",18,"New South Wales"
"NT",2006,"Multiple","Motorcycle rider","Male",32,"Northern Territory"
"NSW",2006,"Single","Pedestrian","Male",28,"New South Wales"
"WA",2006,"Multiple","Pedestrian","Male",32,"West Australia"
"VIC",2006,"Single","Driver","Female",25,"Victoria"
"QLD",2006,"Single","Driver","Female",21,"Queensland"
"VIC",2006,"Single","Pedestrian","Male",37,"Victoria"
"NSW",2006,"Single","Pedestrian","Male",32,"New South Wales"
"NSW",2006,"Single","Passenger","Female",77,"New South Wales"
"QLD",2006,"Multiple","Driver","Male",68,"Queensland"
"QLD",2006,"Single","Pedestrian","Male",56,"Queensland"
"VIC",2006,"Multiple","Motorcycle rider","Male",17,"Victoria"
"QLD",2006,"Multiple","Driver","Female",79,"Queensland"
"WA",2006,"Single","Passenger","Male",33,"West Australia"
"VIC",2006,"Multiple","Driver","Female",50,"Victoria"
"TAS",2006,"Multiple","Driver","Female",49,"Tasmania"
"NT",2006,"Single","Driver","Male",25,"Northern Territory"
"NSW",2006,"Single","Driver","Male",58,"New South Wales"
"SA",2006,"Single","Pedestrian","Male",3,"South Australia"
"NSW",2006,"Single","Pedestrian","Female",57,"New South Wales"
"NSW",2006,"Multiple","Driver","Male",28,"New South Wales"
"SA",2006,"Single","Passenger","Female",63,"South Australia"
"NSW",2006,"Multiple","Driver","Male",68,"New South Wales"
"QLD",2006,"Single","Driver","Male",18,"Queensland"
"QLD",2006,"Single","Passenger","Female",45,"Queensland"
"QLD",2006,"Multiple","Driver","Male",19,"Queensland"
"NSW",2006,"Single","Motorcycle rider","Male",19,"New South Wales"
"NSW",2006,"Multiple","Pedestrian","Male",52,"New South Wales"
"VIC",2006,"Single","Motorcycle rider","Male",18,"Victoria"
"NSW",2006,"Single","Pedestrian","Male",36,"New South Wales"
"TAS",2006,"Multiple","Driver","Male",50,"Tasmania"
"SA",2006,"Multiple","Motorcycle rider","Male",56,"South Australia"
"NSW",2006,"Multiple","Pedestrian","Male",52,"New South Wales"
"ACT",2006,"Multiple","Driver","Male",42,"Austialian Capital Territory"
"VIC",2006,"Multiple","Pedal cyclist","Female",28,"Victoria"
"VIC",2006,"Single","Passenger","Male",16,"Victoria"
"QLD",2006,"Multiple","Driver","Male",79,"Queensland"
"QLD",2006,"Multiple","Driver","Female",23,"Queensland"
"VIC",2006,"Single","Passenger","Male",20,"Victoria"
"WA",2006,"Single","Motorcycle rider","Male",58,"West Australia"
"VIC",2006,"Multiple","Passenger","Female",14,"Victoria"
"VIC",2006,"Single","Driver","Male",50,"Victoria"
"SA",2006,"Multiple","Driver","Male",17,"South Australia"
"QLD",2006,"Multiple","Passenger","Female",98,"Queensland"
"NSW",2006,"Single","Passenger","Female",67,"New South Wales"
"QLD",2006,"Multiple","Motorcycle rider","Male",30,"Queensland"
"NSW",2006,"Multiple","Driver","Male",41,"New South Wales"
"NSW",2006,"Multiple","Motorcycle rider","Male",83,"New South Wales"
"VIC",2006,"Multiple","Passenger","Female",25,"Victoria"
"VIC",2006,"Single","Passenger","Male",18,"Victoria"
"VIC",2006,"Multiple","Passenger","Male",13,"Victoria"
"VIC",2006,"Single","Driver","Male",18,"Victoria"
"VIC",2006,"Multiple","Driver","Male",36,"Victoria"
"SA",2006,"Multiple","Pedal cyclist","Male",37,"South Australia"
"QLD",2006,"Multiple","Motorcycle rider","Male",17,"Queensland"
"SA",2006,"Single","Driver","Male",44,"South Australia"
"VIC",2006,"Multiple","Driver","Male",24,"Victoria"
"NSW",2007,"Multiple","Pedestrian","Male",22,"New South Wales"
"SA",2007,"Single","Driver","Male",18,"South Australia"
"VIC",2007,"Single","Driver","Female",29,"Victoria"
"NSW",2007,"Multiple","Driver","Male",38,"New South Wales"
"VIC",2007,"Single","Motorcycle rider","Male",48,"Victoria"
"NSW",2007,"Single","Motorcycle rider","Male",49,"New South Wales"
"QLD",2007,"Multiple","Motorcycle rider","Male",63,"Queensland"
"QLD",2007,"Single","Passenger","Female",25,"Queensland"
"NSW",2007,"Single","Driver","Male",21,"New South Wales"
"WA",2007,"Multiple","Driver","Male",17,"West Australia"
"NSW",2007,"Single","Driver","Male",30,"New South Wales"
"SA",2007,"Single","Passenger","Male",29,"South Australia"
"QLD",2007,"Single","Pedestrian","Male",21,"Queensland"
"NSW",2007,"Single","Pedestrian","Male",13,"New South Wales"
"TAS",2007,"Multiple","Driver","Male",19,"Tasmania"
"VIC",2007,"Multiple","Passenger","Male",16,"Victoria"
"NT",2007,"Single","Driver","Female",29,"Northern Territory"
"NSW",2007,"Single","Pedal cyclist","Male",59,"New South Wales"
"QLD",2007,"Multiple","Passenger","Female",30,"Queensland"
"NT",2007,"Single","Passenger","Male",21,"Northern Territory"
"WA",2007,"Multiple","Passenger","Male",75,"West Australia"
"QLD",2007,"Multiple","Driver","Male",89,"Queensland"
"SA",2007,"Single","Motorcycle rider","Male",30,"South Australia"
"VIC",2007,"Single","Driver","Male",49,"Victoria"
"NSW",2007,"Multiple","Driver","Male",15,"New South Wales"
"QLD",2007,"Multiple","Driver","Female",59,"Queensland"
"SA",2007,"Multiple","Driver","Male",29,"South Australia"
"NSW",2007,"Multiple","Driver","Male",21,"New South Wales"
"QLD",2007,"Multiple","Driver","Female",65,"Queensland"
"NSW",2007,"Multiple","Driver","Male",79,"New South Wales"
"TAS",2007,"Multiple","Passenger","Female",76,"Tasmania"
"SA",2007,"Single","Driver","Male",33,"South Australia"
"QLD",2007,"Multiple","Passenger","Female",20,"Queensland"
"VIC",2007,"Single","Pedestrian","Female",90,"Victoria"
"NSW",2007,"Single","Driver","Male",17,"New South Wales"
"NSW",2007,"Single","Driver","Male",67,"New South Wales"
"NSW",2007,"Single","Driver","Male",30,"New South Wales"
"SA",2007,"Multiple","Driver","Male",20,"South Australia"
"QLD",2007,"Single","Passenger","Female",8,"Queensland"
"NSW",2007,"Single","Driver","Female",44,"New South Wales"
"NSW",2007,"Multiple","Driver","Male",17,"New South Wales"
"NSW",2007,"Single","Motorcycle rider","Male",20,"New South Wales"
"NSW",2007,"Single","Driver","Male",20,"New South Wales"
"NSW",2007,"Multiple","Driver","Male",66,"New South Wales"
"NSW",2007,"Multiple","Driver","Female",36,"New South Wales"
"QLD",2007,"Single","Driver","Male",24,"Queensland"
"SA",2007,"Single","Pedestrian","Female",65,"South Australia"
"NSW",2007,"Single","Motorcycle rider","Male",21,"New South Wales"
"NSW",2007,"Single","Pedestrian","Female",32,"New South Wales"
"WA",2007,"Multiple","Driver","Female",45,"West Australia"
"NSW",2007,"Single","Driver","Male",49,"New South Wales"
"NSW",2007,"Single","Motorcycle rider","Male",23,"New South Wales"
"NSW",2007,"Single","Driver","Male",35,"New South Wales"
"QLD",2007,"Single","Pedestrian","Male",87,"Queensland"
"NSW",2007,"Single","Motorcycle rider","Male",22,"New South Wales"
"NSW",2007,"Single","Driver","Male",37,"New South Wales"
"VIC",2007,"Single","Driver","Male",18,"Victoria"
"WA",2007,"Multiple","Motorcycle rider","Male",20,"West Australia"
"QLD",2007,"Multiple","Passenger","Male",3,"Queensland"
"QLD",2007,"Single","Driver","Male",42,"Queensland"
"NSW",2007,"Multiple","Passenger","Female",65,"New South Wales"
"VIC",2007,"Single","Driver","Female",71,"Victoria"
"SA",2007,"Single","Passenger","Female",83,"South Australia"
"VIC",2007,"Multiple","Motorcycle rider","Male",33,"Victoria"
"VIC",2007,"Single","Driver","Male",54,"Victoria"
"SA",2007,"Multiple","Driver","Female",40,"South Australia"
"NT",2007,"Multiple","Pedestrian","Male",15,"Northern Territory"
"ACT",2007,"Multiple","Passenger","Female",54,"Austialian Capital Territory"
"QLD",2007,"Multiple","Passenger","Male",23,"Queensland"
"VIC",2007,"Single","Passenger","Male",12,"Victoria"
"QLD",2007,"Single","Passenger","Male",52,"Queensland"
"NSW",2007,"Single","Driver","Male",48,"New South Wales"
"WA",2007,"Single","Passenger","Male",82,"West Australia"
"WA",2007,"Single","Motorcycle rider","Male",22,"West Australia"
"WA",2007,"Multiple","Passenger","Male",32,"West Australia"
"VIC",2007,"Single","Pedestrian","Male",-9,"Victoria"
"QLD",2007,"Multiple","Pedestrian","Female",68,"Queensland"
"NSW",2007,"Multiple","Driver","Male",84,"New South Wales"
"SA",2007,"Single","Passenger","Female",27,"South Australia"
"QLD",2007,"Multiple","Pedestrian","Male",23,"Queensland"
"QLD",2007,"Single","Driver","Male",31,"Queensland"
"WA",2007,"Single","Pedestrian","Male",30,"West Australia"
"QLD",2007,"Multiple","Passenger","Female",25,"Queensland"
"QLD",2007,"Single","Motorcycle rider","Male",45,"Queensland"
"WA",2007,"Multiple","Pedal cyclist","Male",5,"West Australia"
"QLD",2007,"Single","Driver","Male",30,"Queensland"
"NSW",2007,"Single","Pedestrian","Female",76,"New South Wales"
"QLD",2007,"Multiple","Driver","Female",32,"Queensland"
"SA",2007,"Single","Passenger","Female",73,"South Australia"
"QLD",2007,"Single","Pedestrian","Male",17,"Queensland"
"VIC",2007,"Multiple","Motorcycle rider","Male",36,"Victoria"
"WA",2007,"Single","Driver","Male",33,"West Australia"
"NSW",2007,"Single","Pedestrian","Female",55,"New South Wales"
"VIC",2007,"Multiple","Passenger","Male",12,"Victoria"
"QLD",2007,"Single","Passenger","Female",32,"Queensland"
"QLD",2007,"Multiple","Driver","Male",43,"Queensland"
"QLD",2007,"Multiple","Motorcycle rider","Male",26,"Queensland"
"QLD",2007,"Multiple","Motorcycle rider","Male",40,"Queensland"
"WA",2007,"Single","Passenger","Female",70,"West Australia"
"NSW",2007,"Multiple","Motorcycle rider","Male",67,"New South Wales"
"SA",2007,"Single","Driver","Male",56,"South Australia"
"VIC",2007,"Single","Driver","Male",28,"Victoria"
"NSW",2007,"Single","Driver","Male",18,"New South Wales"
"WA",2007,"Multiple","Driver","Male",38,"West Australia"
"SA",2007,"Multiple","Motorcycle pillion passenger","Male",36,"South Australia"
"NSW",2007,"Single","Driver","Male",76,"New South Wales"
"NSW",2007,"Single","Driver","Male",78,"New South Wales"
"WA",2007,"Single","Motorcycle rider","Male",61,"West Australia"
"SA",2007,"Single","Driver","Male",84,"South Australia"
"TAS",2007,"Single","Driver","Male",51,"Tasmania"
"NSW",2007,"Multiple","Driver","Male",22,"New South Wales"
"WA",2007,"Single","Pedestrian","Male",1,"West Australia"
"VIC",2007,"Single","Driver","Female",48,"Victoria"
"SA",2007,"Multiple","Driver","Male",32,"South Australia"
"TAS",2007,"Multiple","Driver","Male",79,"Tasmania"
"QLD",2007,"Single","Passenger","Male",47,"Queensland"
"QLD",2007,"Multiple","Driver","Female",34,"Queensland"
"QLD",2007,"Multiple","Driver","Male",20,"Queensland"
"NSW",2007,"Multiple","Driver","Male",20,"New South Wales"
"NSW",2007,"Multiple","Driver","Male",47,"New South Wales"
"TAS",2007,"Single","Passenger","Male",20,"Tasmania"
"WA",2007,"Multiple","Driver","Male",58,"West Australia"
"VIC",2007,"Multiple","Passenger","Female",50,"Victoria"
"VIC",2007,"Multiple","Driver","Male",38,"Victoria"
"VIC",2007,"Single","Driver","Male",21,"Victoria"
"QLD",2007,"Multiple","Driver","Male",30,"Queensland"
"NSW",2007,"Multiple","Motorcycle rider","Male",58,"New South Wales"
"QLD",2007,"Multiple","Driver","Female",42,"Queensland"
"VIC",2007,"Multiple","Driver","Female",22,"Victoria"
"QLD",2007,"Multiple","Driver","Female",67,"Queensland"
"VIC",2007,"Multiple","Driver","Male",30,"Victoria"
"QLD",2007,"Single","Driver","Male",25,"Queensland"
"VIC",2007,"Single","Driver","Male",67,"Victoria"
"NSW",2007,"Single","Pedestrian","Male",92,"New South Wales"
"VIC",2007,"Multiple","Driver","Male",41,"Victoria"
"WA",2007,"Single","Driver","Male",55,"West Australia"
"SA",2007,"Single","Motorcycle rider","Male",26,"South Australia"
"NSW",2007,"Single","Passenger","Male",15,"New South Wales"
"QLD",2007,"Single","Pedestrian","Female",18,"Queensland"
"WA",2007,"Single","Pedestrian","Male",27,"West Australia"
"NSW",2007,"Single","Driver","Male",50,"New South Wales"
"NSW",2007,"Single","Passenger","Female",40,"New South Wales"
"SA",2007,"Multiple","Driver","Female",25,"South Australia"
"VIC",2007,"Multiple","Motorcycle rider","Male",25,"Victoria"
"NSW",2007,"Multiple","Driver","Male",30,"New South Wales"
"WA",2007,"Single","Pedestrian","Male",20,"West Australia"
"WA",2007,"Multiple","Passenger","Female",74,"West Australia"
"VIC",2007,"Multiple","Driver","Female",77,"Victoria"
"WA",2007,"Single","Passenger","Female",23,"West Australia"
"VIC",2007,"Single","Driver","Female",51,"Victoria"
"QLD",2007,"Single","Passenger","Male",13,"Queensland"
"NSW",2007,"Multiple","Pedestrian","Male",50,"New South Wales"
"NSW",2007,"Multiple","Driver","Female",44,"New South Wales"
"SA",2007,"Multiple","Motorcycle rider","Male",26,"South Australia"
"NSW",2007,"Multiple","Pedal cyclist","Male",47,"New South Wales"
"QLD",2007,"Multiple","Motorcycle rider","Male",53,"Queensland"
"NSW",2007,"Multiple","Driver","Male",47,"New South Wales"
"VIC",2007,"Single","Passenger","Female",23,"Victoria"
"WA",2007,"Single","Driver","Female",35,"West Australia"
"QLD",2007,"Single","Motorcycle rider","Male",30,"Queensland"
"NSW",2007,"Single","Passenger","Male",18,"New South Wales"
"QLD",2007,"Single","Motorcycle rider","Male",29,"Queensland"
"TAS",2007,"Multiple","Motorcycle rider","Male",25,"Tasmania"
"QLD",2007,"Single","Motorcycle rider","Male",37,"Queensland"
"QLD",2007,"Single","Passenger","Male",20,"Queensland"
"NSW",2007,"Multiple","Driver","Male",68,"New South Wales"
"QLD",2007,"Multiple","Motorcycle rider","Male",48,"Queensland"
"WA",2007,"Single","Passenger","Female",23,"West Australia"
"NSW",2007,"Multiple","Passenger","Male",26,"New South Wales"
"NSW",2007,"Single","Driver","Male",37,"New South Wales"
"QLD",2007,"Single","Pedestrian","Male",52,"Queensland"
"VIC",2007,"Multiple","Motorcycle pillion passenger","Male",24,"Victoria"
"VIC",2007,"Single","Pedestrian","Male",82,"Victoria"
"NSW",2007,"Single","Driver","Male",38,"New South Wales"
"NT",2007,"Single","Passenger","Male",17,"Northern Territory"
"QLD",2007,"Single","Driver","Male",21,"Queensland"
"VIC",2007,"Single","Driver","Male",29,"Victoria"
"NSW",2007,"Multiple","Driver","Male",48,"New South Wales"
"NSW",2007,"Multiple","Passenger","Female",37,"New South Wales"
"QLD",2007,"Multiple","Driver","Male",59,"Queensland"
"QLD",2007,"Single","Driver","Male",52,"Queensland"
"NT",2007,"Single","Driver","Female",46,"Northern Territory"
